cpu,memory,disk,processes,label
100.0,92.3,43.7,310,1
97.5,91.2,43.7,308,1
98.5,88.9,43.7,308,1
96.4,88.7,43.7,308,1
97.6,87.6,43.7,308,1
97.9,87.4,43.7,308,1
97.9,87.0,43.7,308,1
95.6,86.3,43.7,308,1
94.3,86.5,43.7,308,1
87.5,85.3,43.7,308,1
91.3,85.2,43.7,308,1
85.4,85.7,43.7,308,1
100.0,100.0,43.7,448,-1
93.1,85.9,43.7,308,1
87.1,84.9,43.7,308,1
89.6,85.2,43.7,308,1
86.8,85.9,43.7,308,1
88.5,85.3,43.7,308,1
84.4,85.7,43.7,308,1
88.1,85.2,43.7,308,1
87.4,85.6,43.7,308,1
94.6,86.1,43.7,308,1
89.6,85.5,43.7,308,1
89.3,86.1,43.7,308,1
91.2,85.3,43.7,308,1
85.4,85.9,43.7,308,1
86.6,85.5,43.7,308,1
87.6,85.8,43.7,308,1
93.7,85.9,43.7,308,1
93.8,85.7,43.7,308,1
87.0,86.1,43.7,308,1
88.8,85.5,43.7,308,1
97.9,86.5,43.7,309,1
93.5,88.7,43.7,309,1
99.2,89.1,43.7,310,1
93.9,90.3,43.7,310,1
98.5,91.6,43.7,310,1
98.7,90.5,43.7,310,1
97.1,90.0,43.7,310,1
96.7,89.8,43.7,310,1
98.1,90.3,43.7,309,1
99.5,91.4,43.7,309,1
99.4,91.5,43.7,309,1
94.4,91.3,43.7,309,1
95.2,91.1,43.7,309,1
97.9,91.0,43.7,309,1
95.4,91.0,43.7,309,1
97.3,90.9,43.7,309,1
99.6,90.7,43.7,309,1
96.8,90.8,43.7,309,1
99.8,90.4,43.7,309,1
98.9,89.3,43.7,309,1
100.0,100.0,43.7,414,-1
95.6,89.4,43.7,309,1
98.1,89.6,43.7,309,1
100.0,100.0,43.7,445,-1
95.6,88.9,43.7,309,1
93.5,89.1,43.7,309,1
94.6,89.4,43.7,309,1
99.0,89.5,43.7,309,1
95.4,89.4,43.7,309,1
95.0,89.4,43.7,309,1
95.2,89.3,43.7,308,1
93.4,89.4,43.7,308,1
98.1,89.4,43.7,308,1
96.2,90.2,43.7,308,1
100.0,100.0,43.7,485,-1
